選手番号,個人情報url,選手名,選手名読み,所属球団,背番号,ポジション,出身地,生年月日,身長,体重,血液型,投打,ドラフト年,ドラフト順位,経歴,出身高校,所属チーム,birthday,主な獲得タイトル
1600089,https://baseball.yahoo.co.jp/npb/player/1600089/top,佐野 恵太,サノ ケイタ,横浜DeNAベイスターズ,7,外野手,岡山,1994年11月28日,178cm,88kg,A,右投げ左打ち,2016年,9位,広陵高－明治大－DeNA,広陵高,DeNA,1994-11-28,（首）20（安）22（ベ）20、22
1700059,https://baseball.yahoo.co.jp/npb/player/1700059/top,神里 和毅,カミザト カズキ,横浜DeNAベイスターズ,8,外野手,沖縄,1994年1月17日,179cm,86kg,A,右投げ左打ち,2017年,2位,糸満高（甲）－中央大－日本生命－DeNA,糸満高,DeNA,1994-1-17,
1000002,https://baseball.yahoo.co.jp/npb/player/1000002/top,筒香 嘉智,ツツゴウ ヨシトモ,横浜DeNAベイスターズ,25,外野手,和歌山,1991年11月26日,185cm,97kg,A,右投げ左打ち,2009年,1位,横浜高（甲）－横浜－DeNA－レイズ－ドジャース－パイレーツ－ブルージェイズ－レンジャーズ－米独立・スタンテンアイランド－ジャイアンツ傘下マイナー－DeNA,横浜高,DeNA,1991-11-26,（本）16（点）16（ベ）15～17
1800046,https://baseball.yahoo.co.jp/npb/player/1800046/top,勝又 温史,カツマタ アツシ,横浜DeNAベイスターズ,28,外野手,東京,2000年5月22日,180cm,83kg,不明,右投げ左打ち,2018年,4位,日大鶴ケ丘高－DeNA,日大鶴ケ丘高,DeNA,2000-5-22,
2104341,https://baseball.yahoo.co.jp/npb/player/2104341/top,武田 陸玖,タケダ リク,横浜DeNAベイスターズ,33,外野手,山形,2005年6月6日,173cm,78kg,B,左投げ左打ち,2023年,3位,山形中央高－DeNA,山形中央高,DeNA,2005-6-6,
2103703,https://baseball.yahoo.co.jp/npb/player/2103703/top,梶原 昂希,カジワラ コウキ,横浜DeNAベイスターズ,58,外野手,大分,1999年9月19日,189cm,85kg,A,右投げ左打ち,2021年,6位,大分雄城台高－神奈川大－DeNA,大分雄城台高,DeNA,1999-9-19,
1900035,https://baseball.yahoo.co.jp/npb/player/1900035/top,蝦名 達夫,エビナ タツオ,横浜DeNAベイスターズ,61,外野手,青森,1997年9月20日,185cm,88kg,B,右投げ右打ち,2019年,6位,青森商高－青森大－DeNA,青森商高,DeNA,1997-9-20,
1300038,https://baseball.yahoo.co.jp/npb/player/1300038/top,関根 大気,セキネ タイキ,横浜DeNAベイスターズ,63,外野手,愛知,1995年6月28日,173cm,78kg,A,左投げ左打ち,2013年,5位,東邦高－DeNA,東邦高,DeNA,1995-6-28,
1600166,https://baseball.yahoo.co.jp/npb/player/1600166/top,九鬼 隆平,クキ リュウヘイ,横浜DeNAベイスターズ,116,捕手,大阪,1998年9月5日,180cm,76kg,A,右投げ右打ち,2016年,3位,秀岳館高（甲）－ソフトバンク－DeNA,秀岳館高,DeNA,1998-9-5,
2105406,https://baseball.yahoo.co.jp/npb/player/2105406/top,上甲 凌大,ジョウコウ リョウタ,横浜DeNAベイスターズ,127,捕手,愛媛,2001年1月29日,184cm,90kg,AB,右投げ左打ち,2022年,（育）1位,宇和島東高－伯和ビクトリーズ－四国ILplus・愛媛－DeNA,宇和島東高,DeNA,2001-1-29,
2112221,https://baseball.yahoo.co.jp/npb/player/2112221/top,近藤 大雅,コンドウ タイガ,横浜DeNAベイスターズ,130,捕手,兵庫,2005年9月18日,174cm,80kg,AB,右投げ右打ち,2023年,（育）5位,専大北上高－DeNA,専大北上高,DeNA,2005-9-18,
2107866,https://baseball.yahoo.co.jp/npb/player/2107866/top,蓮,レン,横浜DeNAベイスターズ,100,内野手,大阪,2004年7月18日,183cm,86kg,B,右投げ右打ち,2022年,（育）2位,滋賀学園高－DeNA,滋賀学園高,DeNA,2004-7-18,
2112000,https://baseball.yahoo.co.jp/npb/player/2112000/top,小笠原 蒼,オガサワラ ソウ,横浜DeNAベイスターズ,125,内野手,愛知,2005年10月20日,180cm,92kg,A,右投げ左打ち,2023年,（育）3位,京都翔英高－DeNA,京都翔英高,DeNA,2005-10-20,
1700037,https://baseball.yahoo.co.jp/npb/player/1700037/top,西巻 賢二,ニシマキ ケンジ,横浜DeNAベイスターズ,129,内野手,福島,1999年4月22日,167cm,70kg,A,右投げ右打ち,2017年,6位,仙台育英高（甲）－楽天－ロッテ－DeNA,仙台育英高,DeNA,1999-4-22,
2103819,https://baseball.yahoo.co.jp/npb/player/2103819/top,粟飯原 龍之介,アイバラ リュウノスケ,横浜DeNAベイスターズ,133,内野手,千葉,2004年2月22日,180cm,85kg,B,右投げ左打ち,2021年,3位,東京学館高－DeNA,東京学館高,DeNA,2004-2-22,
2104256,https://baseball.yahoo.co.jp/npb/player/2104256/top,高見澤 郁魅,タカミザワ イクミ,横浜DeNAベイスターズ,193,内野手,埼玉,2006年1月18日,183cm,85kg,A,右投げ左打ち,2023年,（育）1位,敦賀気比高（甲）－DeNA,敦賀気比高,DeNA,2006-1-18,
2117755,https://baseball.yahoo.co.jp/npb/player/2117755/top,小針 大輝,コバリ ダイキ,横浜DeNAベイスターズ,155,外野手,東京,2006年10月10日,191cm,94kg,不明,左投げ左打ち,2024年,（育）1位,日大鶴ケ丘高－DeNA,日大鶴ケ丘高,DeNA,2006-10-10,
1900038,https://baseball.yahoo.co.jp/npb/player/1900038/top,橋本 侑樹,ハシモト ユウキ,中日ドラゴンズ,13,投手,福井,1998年1月8日,180cm,75kg,A,左投げ左打ち,2019年,2位,大垣日大高（甲）－大阪商業大－中日,大垣日大高,中日,1998-1-8,
1851138,https://baseball.yahoo.co.jp/npb/player/1851138/top,草加 勝,クサカ ショウ,中日ドラゴンズ,14,投手,岡山,2001年11月21日,182cm,75kg,A,右投げ右打ち,2023年,1位,創志学園高（甲）－亜細亜大－中日,創志学園高,中日,2001-11-21,
800080,https://baseball.yahoo.co.jp/npb/player/800080/top,岩嵜 翔,イワサキ ショウ,中日ドラゴンズ,16,投手,千葉,1989年10月21日,189cm,90kg,O,右投げ右打ち,2007年,（高）1巡目,市船橋高（甲）－ソフトバンク－中日,市船橋高,中日,1989-10-21,（中）17
1600106,https://baseball.yahoo.co.jp/npb/player/1600106/top,柳 裕也,ヤナギ ユウヤ,中日ドラゴンズ,17,投手,宮崎,1994年4月22日,180cm,85kg,A,右投げ右打ち,2016年,1位,横浜高（甲）－明治大－中日,横浜高,中日,1994-4-22,（防）21（振）21（ベ）21（ゴ）21
1800060,https://baseball.yahoo.co.jp/npb/player/1800060/top,梅津 晃大,ウメツ コウダイ,中日ドラゴンズ,18,投手,宮城,1996年10月24日,187cm,95kg,B,右投げ右打ち,2018年,2位,仙台育英高（甲）－東洋大－中日,仙台育英高,中日,1996-10-24,
2000042,https://baseball.yahoo.co.jp/npb/player/2000042/top,髙橋 宏斗,タカハシ ヒロト,中日ドラゴンズ,19,投手,愛知,2002年8月9日,186cm,86kg,AB,右投げ右打ち,2020年,1位,中京大中京高（甲）－中日,中京大中京高,中日,2002-8-9,（防）24
500014,https://baseball.yahoo.co.jp/npb/player/500014/top,涌井 秀章,ワクイ ヒデアキ,中日ドラゴンズ,20,投手,千葉,1986年6月21日,185cm,85kg,A,右投げ右打ち,2004年,1巡目,横浜高（甲）－西武－ロッテ－楽天－中日,横浜高,中日,1986-6-21,（勝）07、09、15、20（沢）09（ゴ）09、10、15、16
2108462,https://baseball.yahoo.co.jp/npb/player/2108462/top,金丸 夢斗,カネマル ユメト,中日ドラゴンズ,21,投手,兵庫,2003年2月1日,177cm,77kg,O,左投げ左打ち,2024年,1位,神港橘高－関西大－中日,神港橘高,中日,2003-2-1,
1000138,https://baseball.yahoo.co.jp/npb/player/1000138/top,大野 雄大,オオノ ユウダイ,中日ドラゴンズ,22,投手,京都,1988年9月26日,184cm,85kg,O,左投げ左打ち,2010年,1位,京都外大西高（甲）－佛教大－中日,京都外大西高,中日,1988-9-26,（防）19、20（振）20（沢）20
2107860,https://baseball.yahoo.co.jp/npb/player/2107860/top,仲地 礼亜,ナカチ レイア,中日ドラゴンズ,26,投手,沖縄,2001年2月15日,177cm,83kg,O,右投げ右打ち,2022年,1位,嘉手納高－沖縄大－中日,嘉手納高,中日,2001-2-15,
2000043,https://baseball.yahoo.co.jp/npb/player/2000043/top,森 博人,モリ ヒロト,中日ドラゴンズ,28,投手,愛知,1998年5月25日,177cm,84kg,O,右投げ右打ち,2020年,2位,豊川高－日本体育大－中日,豊川高,中日,1998-5-25,
2000050,https://baseball.yahoo.co.jp/npb/player/2000050/top,松木平 優太,マツキヒラ ユウタ,中日ドラゴンズ,29,投手,大阪,2003年2月24日,178cm,78kg,O,右投げ右打ち,2020年,（育）3位,精華高－中日,精華高,中日,2003-2-24,
1800059,https://baseball.yahoo.co.jp/npb/player/1800059/top,根尾 昂,ネオ アキラ,中日ドラゴンズ,30,投手,岐阜,2000年4月19日,177cm,84kg,O,右投げ左打ち,2018年,1位,大阪桐蔭高（甲）－中日,大阪桐蔭高,中日,2000-4-19,
2105038,https://baseball.yahoo.co.jp/npb/player/2105038/top,伊藤 茉央,イトウ マオ,中日ドラゴンズ,32,投手,福島,2000年11月19日,176cm,80kg,O,右投げ左打ち,2022年,4位,喜多方高－東京農業大北海道オホーツク－楽天－中日,喜多方高,中日,2000-11-19,
1300066,https://baseball.yahoo.co.jp/npb/player/1300066/top,祖父江 大輔,ソブエ ダイスケ,中日ドラゴンズ,33,投手,愛知,1987年8月11日,175cm,75kg,B,右投げ左打ち,2013年,5位,愛知・愛知高－愛知大－トヨタ自動車－中日,愛知・愛知高,中日,1987-8-11,（中）20
1500077,https://baseball.yahoo.co.jp/npb/player/1500077/top,福 敬登,フク ヒロト,中日ドラゴンズ,34,投手,兵庫,1992年6月16日,181cm,98kg,O,左投げ左打ち,2015年,4位,神戸西高－JR九州－中日,神戸西高,中日,1992-6-16,（中）20
2104208,https://baseball.yahoo.co.jp/npb/player/2104208/top,福田 幸之介,フクダ コウノスケ,中日ドラゴンズ,36,投手,大阪,2005年8月11日,181cm,84kg,A,左投げ左打ち,2023年,4位,履正社高（甲）－中日,履正社高,中日,2005-8-11,
1200098,https://baseball.yahoo.co.jp/npb/player/1200098/top,松葉 貴大,マツバ タカヒロ,中日ドラゴンズ,38,投手,兵庫,1990年8月14日,179cm,82kg,B,左投げ左打ち,2012年,1位,東洋大姫路高（甲）－大阪体育大－オリックス－中日,東洋大姫路高,中日,1990-8-14,
1800061,https://baseball.yahoo.co.jp/npb/player/1800061/top,勝野 昌慶,カツノ アキヨシ,中日ドラゴンズ,41,投手,岐阜,1997年6月12日,181cm,89kg,O,右投げ右打ち,2018年,3位,土岐商高－三菱重工名古屋－中日,土岐商高,中日,1997-6-12,
1600076,https://baseball.yahoo.co.jp/npb/player/1600076/top,梅野 雄吾,ウメノ ユウゴ,中日ドラゴンズ,46,投手,福岡,1999年1月13日,175cm,84kg,A,右投げ右打ち,2016年,3位,九産大九産高－ヤクルト－中日,九産大九産高,中日,1999-1-13,
2105295,https://baseball.yahoo.co.jp/npb/player/2105295/top,吉田 聖弥,ヨシダ セイヤ,中日ドラゴンズ,47,投手,佐賀,2002年5月23日,175cm,80kg,A,左投げ左打ち,2024年,2位,伊万里農林高－西濃運輸－中日,伊万里農林高,中日,2002-5-23,
2107733,https://baseball.yahoo.co.jp/npb/player/2107733/top,土生 翔太,ハブ ショウタ,中日ドラゴンズ,48,投手,神奈川,2001年3月10日,180cm,93kg,A,右投げ右打ち,2023年,5位,横浜高－桜美林大－BCリーグ・茨城－中日,横浜高,中日,2001-3-10,
1700104,https://baseball.yahoo.co.jp/npb/player/1700104/top,清水 達也,シミズ タツヤ,中日ドラゴンズ,50,投手,埼玉,1999年11月3日,184cm,90kg,AB,右投げ右打ち,2017年,4位,花咲徳栄高（甲）－中日,花咲徳栄高,中日,1999-11-3,
1600110,https://baseball.yahoo.co.jp/npb/player/1600110/top,藤嶋 健人,フジシマ ケント,中日ドラゴンズ,54,投手,愛知,1998年5月8日,177cm,85kg,O,右投げ右打ち,2016年,5位,東邦高（甲）－中日,東邦高,中日,1998-5-8,
1400199,https://baseball.yahoo.co.jp/npb/player/1400199/top,齋藤 綱記,サイトウ コウキ,中日ドラゴンズ,59,投手,北海道,1996年12月18日,182cm,91kg,O,左投げ左打ち,2014年,5位,北照高（甲）－オリックス－日本ハム－中日,北照高,中日,1996-12-18,
2117709,https://baseball.yahoo.co.jp/npb/player/2117709/top,高橋 幸佑,タカハシ コウスケ,中日ドラゴンズ,61,投手,北海道,2006年12月31日,177cm,82kg,不明,左投げ左打ち,2024年,5位,北照高－中日,北照高,中日,2006-12-31,
2116498,https://baseball.yahoo.co.jp/npb/player/2116498/top,有馬 惠叶,アリマ ケイト,中日ドラゴンズ,64,投手,愛媛,2006年9月20日,190cm,78kg,不明,右投げ右打ち,2024年,6位,聖カタリナ高（甲）－中日,聖カタリナ高,中日,2006-9-20,
2107869,https://baseball.yahoo.co.jp/npb/player/2107869/top,松山 晋也,マツヤマ シンヤ,中日ドラゴンズ,90,投手,青森,2000年6月23日,188cm,92kg,O,右投げ右打ち,2022年,（育）1位,野辺地西高－八戸学院大－中日,野辺地西高,中日,2000-6-23,（中）24
1660558,https://baseball.yahoo.co.jp/npb/player/1660558/top,メヒア,メヒア,中日ドラゴンズ,91,投手,パナマ,1997年3月3日,193cm,104kg,不明,右投げ右打ち,--,--,アンヘルルビオ高－マーリンズ－ダイヤモンドバックス－メキシコ・オアハカ－メキシコ・グアダラハラ－メキシコ・ティフアナ－3Aシラキュース－中日,アンヘルルビオ高,中日,1997-3-3,
2100961,https://baseball.yahoo.co.jp/npb/player/2100961/top,マラー,マラー,中日ドラゴンズ,93,投手,アメリカ,1997年10月7日,201cm,118kg,不明,左投げ右打ち,--,--,ブレーブス－アスレチックス－中日,ブレーブス,中日,1997-10-7,
2108291,https://baseball.yahoo.co.jp/npb/player/2108291/top,ウォルターズ,ウォルターズ,中日ドラゴンズ,94,投手,アメリカ,1997年5月18日,195cm,102kg,不明,右投げ右打ち,--,--,エンゼルス－2Aハリスバーグ－中日,エンゼルス,中日,1997-5-18,
2117743,https://baseball.yahoo.co.jp/npb/player/2117743/top,井上 剣也,イノウエ ケンヤ,中日ドラゴンズ,203,投手,鹿児島,2006年12月20日,178cm,80kg,不明,右投げ右打ち,2024年,（育）2位,鹿児島実高－中日,鹿児島実高,中日,2006-12-20,
1650489,https://baseball.yahoo.co.jp/npb/player/1650489/top,三浦 瑞樹,ミウラ ミズキ,中日ドラゴンズ,204,投手,神奈川,1999年9月2日,174cm,78kg,A,左投げ右打ち,2021年,（育）4位,盛岡大付高（甲）－東北福祉大－ソフトバンク－中日,盛岡大付高,中日,1999-9-2,
1700102,https://baseball.yahoo.co.jp/npb/player/1700102/top,石川 翔,イシカワ ショウ,中日ドラゴンズ,208,投手,東京,1999年12月14日,180cm,89kg,B,右投げ左打ち,2017年,2位,青藍泰斗高－中日,青藍泰斗高,中日,1999-12-14,
900406,https://baseball.yahoo.co.jp/npb/player/900406/top,岡田 俊哉,オカダ トシヤ,中日ドラゴンズ,210,投手,和歌山,1991年12月5日,178cm,69kg,A,左投げ左打ち,2009年,1位,智弁和歌山高（甲）－中日,智弁和歌山高,中日,1991-12-5,
2107592,https://baseball.yahoo.co.jp/npb/player/2107592/top,野中 天翔,ノナカ テント,中日ドラゴンズ,212,投手,和歌山,2005年2月5日,180cm,83kg,O,左投げ左打ち,2022年,（育）2位,明桜高－中日,明桜高,中日,2005-2-5,
2102616,https://baseball.yahoo.co.jp/npb/player/2102616/top,森山 暁生,モリヤマ アキオ,中日ドラゴンズ,213,投手,徳島,2005年1月11日,183cm,84kg,O,左投げ左打ち,2022年,3位,阿南光高（甲）－中日,阿南光高,中日,2005-1-11,
2000048,https://baseball.yahoo.co.jp/npb/player/2000048/top,近藤 廉,コンドウ レン,中日ドラゴンズ,214,投手,東京,1998年9月22日,180cm,87kg,A,左投げ左打ち,2020年,（育）1位,豊南高－札幌学院大－中日,豊南高,中日,1998-9-22,
2103346,https://baseball.yahoo.co.jp/npb/player/2103346/top,菊田 翔友,キクタ トワ,中日ドラゴンズ,216,投手,愛知,2003年9月25日,182cm,88kg,AB,右投げ右打ち,2023年,（育）2位,享栄高－四国ILplus・愛媛－中日,享栄高,中日,2003-9-25,
2118421,https://baseball.yahoo.co.jp/npb/player/2118421/top,マルティネス,マルティネス,中日ドラゴンズ,219,投手,キューバ,2003年9月28日,177cm,72kg,不明,左投げ左打ち,--,--,キューバ・ピナールデルリオ－中日,キューバ・ピナールデルリオ,中日,2003-9-28,
2105102,https://baseball.yahoo.co.jp/npb/player/2105102/top,石伊 雄太,イシイ ユウタ,中日ドラゴンズ,9,捕手,三重,2000年8月18日,178cm,84kg,不明,右投げ右打ち,2024年,4位,近大高専－近畿大工学部－日本生命－中日,近大高専,中日,2000-8-18,
1500076,https://baseball.yahoo.co.jp/npb/player/1500076/top,木下 拓哉,キノシタ タクヤ,中日ドラゴンズ,35,捕手,高知,1991年12月18日,183cm,95kg,B,右投げ右打ち,2015年,3位,高知高（甲）－法政大－トヨタ自動車－中日,高知高,中日,1991-12-18,
1500049,https://baseball.yahoo.co.jp/npb/player/1500049/top,宇佐見 真吾,ウサミ シンゴ,中日ドラゴンズ,39,捕手,千葉,1993年6月4日,181cm,88kg,O,右投げ左打ち,2015年,4位,市柏高－城西国際大－巨人－日本ハム－中日,市柏高,中日,1993-6-4,
2103633,https://baseball.yahoo.co.jp/npb/player/2103633/top,味谷 大誠,ミヤ タイセイ,中日ドラゴンズ,43,捕手,大阪,2003年6月14日,180cm,85kg,A,右投げ左打ち,2021年,4位,花咲徳栄高－中日,花咲徳栄高,中日,2003-6-14,
1400160,https://baseball.yahoo.co.jp/npb/player/1400160/top,加藤 匠馬,カトウ タクマ,中日ドラゴンズ,49,捕手,三重,1992年4月29日,175cm,83kg,B,右投げ右打ち,2014年,5位,三重・三重高（甲）－青山学院大－中日－ロッテ－中日,三重・三重高,中日,1992-4-29,
2104399,https://baseball.yahoo.co.jp/npb/player/2104399/top,山浅 龍之介,ヤマアサ リュウノスケ,中日ドラゴンズ,57,捕手,秋田,2004年4月21日,175cm,82kg,B,右投げ左打ち,2022年,4位,聖光学院高（甲）－中日,聖光学院高,中日,2004-4-21,
1800062,https://baseball.yahoo.co.jp/npb/player/1800062/top,石橋 康太,イシバシ コウタ,中日ドラゴンズ,58,捕手,千葉,2000年12月7日,181cm,94kg,A,右投げ右打ち,2018年,4位,関東第一高（甲）－中日,関東第一高,中日,2000-12-7,
2105174,https://baseball.yahoo.co.jp/npb/player/2105174/top,辻本 倫太郎,ツジモト リンタロウ,中日ドラゴンズ,0,内野手,北海道,2001年8月11日,168cm,73kg,A,右投げ右打ち,2023年,3位,北海高－仙台大－中日,北海高,中日,2001-8-11,
1750701,https://baseball.yahoo.co.jp/npb/player/1750701/top,田中 幹也,タナカ ミキヤ,中日ドラゴンズ,2,内野手,神奈川,2000年11月28日,166cm,68kg,O,右投げ右打ち,2022年,6位,東海大菅生高（甲）－亜細亜大－中日,東海大菅生高,中日,2000-11-28,
1100069,https://baseball.yahoo.co.jp/npb/player/1100069/top,高橋 周平,タカハシ シュウヘイ,中日ドラゴンズ,3,内野手,神奈川,1994年1月18日,180cm,90kg,O,右投げ左打ち,2011年,1位,東海大甲府高－中日,東海大甲府高,中日,1994-1-18,（ベ）19（ゴ）19、20
1560639,https://baseball.yahoo.co.jp/npb/player/1560639/top,カリステ,カリステ,中日ドラゴンズ,4,内野手,ドミニカ共和国,1992年2月3日,184cm,87kg,不明,右投げ右打ち,--,--,エスクエラ・エチリア・ぺピン高－ロイヤルズ－ジャイアンツ－メキシコ・モンテレイ－中日,エスクエラ・エチリア・ぺピン高,中日,1992-2-3,
1750223,https://baseball.yahoo.co.jp/npb/player/1750223/top,村松 開人,ムラマツ カイト,中日ドラゴンズ,5,内野手,静岡,2001年1月6日,171cm,80kg,B,右投げ左打ち,2022年,2位,静岡高（甲）－明治大－中日,静岡高,中日,2001-1-6,
800054,https://baseball.yahoo.co.jp/npb/player/800054/top,中田 翔,ナカタ ショウ,中日ドラゴンズ,6,内野手,広島,1989年4月22日,184cm,107kg,O,右投げ右打ち,2007年,（高）1巡目,大阪桐蔭高（甲）－日本ハム－巨人－中日,大阪桐蔭高,中日,1989-4-22,（点）14、16、20（ベ）13～16、20（ゴ）15、16、18、20、22
2103780,https://baseball.yahoo.co.jp/npb/player/2103780/top,福永 裕基,フクナガ ヒロキ,中日ドラゴンズ,7,内野手,滋賀,1996年9月16日,180cm,85kg,AB,右投げ右打ち,2022年,7位,天理高－専修大－日本新薬－中日,天理高,中日,1996-9-16,
1961300,https://baseball.yahoo.co.jp/npb/player/1961300/top,ボスラー,ボスラー,中日ドラゴンズ,24,内野手,アメリカ,1993年9月6日,186cm,98kg,不明,右投げ左打ち,--,--,ジャイアンツ－レッズ－マリナーズ－3Aタコマ－中日,ジャイアンツ,中日,1993-9-6,
1900037,https://baseball.yahoo.co.jp/npb/player/1900037/top,石川 昂弥,イシカワ タカヤ,中日ドラゴンズ,25,内野手,愛知,2001年6月22日,186cm,100kg,O,右投げ右打ち,2019年,1位,東邦高（甲）－中日,東邦高,中日,2001-6-22,
1850874,https://baseball.yahoo.co.jp/npb/player/1850874/top,津田 啓史,ツダ ケイシ,中日ドラゴンズ,27,内野手,熊本,2002年11月23日,181cm,88kg,O,右投げ右打ち,2023年,2位,横浜高（甲）－三菱重工East－中日,横浜高,中日,2002-11-23,
2117699,https://baseball.yahoo.co.jp/npb/player/2117699/top,森 駿太,モリ シュンタ,中日ドラゴンズ,31,内野手,神奈川,2006年12月25日,187cm,91kg,不明,右投げ左打ち,2024年,3位,桐光学園高－中日,桐光学園高,中日,2006-12-25,
2000044,https://baseball.yahoo.co.jp/npb/player/2000044/top,土田 龍空,ツチダ リュウク,中日ドラゴンズ,45,内野手,滋賀,2002年12月30日,180cm,77kg,A,右投げ左打ち,2020年,3位,近江高（甲）－中日,近江高,中日,2002-12-30,
1500050,https://baseball.yahoo.co.jp/npb/player/1500050/top,山本 泰寛,ヤマモト ヤスヒロ,中日ドラゴンズ,60,内野手,東京,1993年10月10日,176cm,76kg,B,右投げ右打ち,2015年,5位,慶応高－慶応大－巨人－阪神－中日,慶応高,中日,1993-10-10,
2112338,https://baseball.yahoo.co.jp/npb/player/2112338/top,ロドリゲス,ロドリゲス,中日ドラゴンズ,95,内野手,キューバ,2002年3月31日,184cm,74kg,不明,右投げ右打ち,--,--,エスクエラ・エイデ高－キューバ・ビジャクララ－中日,エスクエラ・エイデ高,中日,2002-3-31,
2103947,https://baseball.yahoo.co.jp/npb/player/2103947/top,樋口 正修,ヒグチ セイシュウ,中日ドラゴンズ,97,内野手,埼玉,1998年11月17日,177cm,75kg,A,右投げ左打ち,2022年,（育）3位,北本高－駿河台大－BCリーグ・埼玉－中日,北本高,中日,1998-11-17,
2107645,https://baseball.yahoo.co.jp/npb/player/2107645/top,尾田 剛樹,オダ ゴウキ,中日ドラゴンズ,00,外野手,兵庫,2000年8月3日,175cm,74kg,A,左投げ左打ち,2023年,（育）3位,高野山高－大阪観光大－BCリーグ・栃木－中日,高野山高,中日,2000-8-3,
1900041,https://baseball.yahoo.co.jp/npb/player/1900041/top,岡林 勇希,オカバヤシ ユウキ,中日ドラゴンズ,1,外野手,三重,2002年2月22日,175cm,75kg,O,右投げ左打ち,2019年,5位,菰野高－中日,菰野高,中日,2002-2-22,（安）22（ベ）22、23（ゴ）22～24
900410,https://baseball.yahoo.co.jp/npb/player/900410/top,大島 洋平,オオシマ ヨウヘイ,中日ドラゴンズ,8,外野手,愛知,1985年11月9日,176cm,75kg,A,左投げ左打ち,2009年,5位,享栄高－駒沢大－日本生命－中日,享栄高,中日,1985-11-9,（安）19、20（盗）12（ベ）12（ゴ）11、12、14～16、18～21
2103944,https://baseball.yahoo.co.jp/npb/player/2103944/top,濱 将乃介,ハマ ショウノスケ,中日ドラゴンズ,37,外野手,大阪,2000年5月3日,181cm,81kg,O,右投げ左打ち,2022年,5位,東海大甲府高－四国ILplus・高知－NOリーグ・福井－中日,東海大甲府高,中日,2000-5-3,
2103840,https://baseball.yahoo.co.jp/npb/player/2103840/top,ブライト 健太,ブライト ケンタ,中日ドラゴンズ,42,外野手,東京,1999年5月7日,184cm,88kg,A,右投げ右打ち,2021年,1位,葛飾野高－上武大－中日,葛飾野高,中日,1999-5-7,
1500100,https://baseball.yahoo.co.jp/npb/player/1500100/top,川越 誠司,カワゴエ セイジ,中日ドラゴンズ,44,外野手,北海道,1993年6月30日,174cm,80kg,A,左投げ左打ち,2015年,2位,北海高（甲）－北海学園大－西武－中日,北海高,中日,1993-6-30,
1300079,https://baseball.yahoo.co.jp/npb/player/1300079/top,上林 誠知,ウエバヤシ セイジ,中日ドラゴンズ,51,外野手,埼玉,1995年8月1日,185cm,90kg,O,右投げ左打ち,2013年,4位,仙台育英高（甲）－ソフトバンク－中日,仙台育英高,中日,1995-8-1,
1000108,https://baseball.yahoo.co.jp/npb/player/1000108/top,駿太,シュンタ,中日ドラゴンズ,53,外野手,群馬,1993年3月5日,180cm,85kg,A,右投げ左打ち,2010年,1位,前橋商高（甲）－オリックス－中日,前橋商高,中日,1993-3-5,
1600085,https://baseball.yahoo.co.jp/npb/player/1600085/top,細川 成也,ホソカワ セイヤ,中日ドラゴンズ,55,外野手,神奈川,1998年8月4日,179cm,98kg,AB,右投げ右打ち,2016年,5位,明秀日立高－DeNA－中日,明秀日立高,中日,1998-8-4,（ベ）24
1500091,https://baseball.yahoo.co.jp/npb/player/1500091/top,板山 祐太郎,イタヤマ ユウタロウ,中日ドラゴンズ,63,外野手,神奈川,1994年3月27日,180cm,88kg,B,右投げ左打ち,2015年,6位,成立学園高－亜細亜大－阪神－中日,成立学園高,中日,1994-3-27,
2103845,https://baseball.yahoo.co.jp/npb/player/2103845/top,鵜飼 航丞,ウカイ コウスケ,中日ドラゴンズ,66,外野手,愛知,1999年5月30日,182cm,100kg,O,右投げ右打ち,2021年,2位,中京大中京高（甲）－駒沢大－中日,中京大中京高,中日,1999-5-30,
2107776,https://baseball.yahoo.co.jp/npb/player/2107776/top,日渡 騰輝,ヒワタリ トウキ,中日ドラゴンズ,215,捕手,茨城,2004年9月20日,173cm,89kg,O,右投げ左打ち,2023年,（育）1位,霞ケ浦高－BCリーグ・茨城－中日,霞ケ浦高,中日,2004-9-20,
2116623,https://baseball.yahoo.co.jp/npb/player/2116623/top,中村 奈一輝,ナカムラ ナイキ,中日ドラゴンズ,202,内野手,宮崎,2006年8月16日,183cm,73kg,不明,右投げ右打ち,2024年,（育）1位,宮崎商高（甲）－中日,宮崎商高,中日,2006-8-16,
2103628,https://baseball.yahoo.co.jp/npb/player/2103628/top,星野 真生,ホシノ マオ,中日ドラゴンズ,207,内野手,愛知,2003年12月1日,176cm,78kg,B,右投げ右打ち,2021年,5位,豊橋中央高－中日,豊橋中央高,中日,2003-12-1,
2107197,https://baseball.yahoo.co.jp/npb/player/2107197/top,川上 理偉,カワカミ リイ,中日ドラゴンズ,218,内野手,大分,2001年3月10日,178cm,85kg,AB,右投げ右打ち,2023年,（育）4位,大分高－宮崎福祉医療カレッジ－九州アジアリーグ・大分－中日,大分高,中日,2001-3-10,
2106198,https://baseball.yahoo.co.jp/npb/player/2106198/top,加藤 竜馬,カトウ リュウマ,中日ドラゴンズ,201,外野手,岡山,1999年5月13日,185cm,100kg,A,右投げ両打ち,2023年,6位,大阪偕星高－亜細亜大－東邦ガス－中日,大阪偕星高,中日,1999-5-13,
