選手番号,個人情報url,選手名,選手名読み,所属球団,背番号,ポジション,出身地,生年月日,身長,体重,血液型,投打,ドラフト年,ドラフト順位,経歴,出身高校,出身大学,所属チーム,birthday,主な獲得タイトル
2116854,https://baseball.yahoo.co.jp/npb/player/2116854/top,松下 歩叶,松下 歩叶,東京ヤクルトスワローズ,6,内野手,神奈川,2003年4月14日,181cm,87kg,不明,右投右打,2025年,1位,桐蔭学園高－法政大－ヤクルト,桐蔭学園高,法政大,ヤクルト,2003-4-14,
1900028,https://baseball.yahoo.co.jp/npb/player/1900028/top,長岡 秀樹,長岡 秀樹,東京ヤクルトスワローズ,7,内野手,千葉,2001年9月26日,175cm,82kg,A,右投左打,2019年,5位,八千代松陰高－ヤクルト,八千代松陰高,,ヤクルト,2001-9-26,（安）24（ベ）24（ゴ）22
1600003,https://baseball.yahoo.co.jp/npb/player/1600003/top,茂木 栄五郎,茂木 栄五郎,東京ヤクルトスワローズ,8,内野手,東京,1994年2月14日,173cm,78kg,O,右投左打,2015年,3位,桐蔭学園高－早稲田大－楽天－ヤクルト,桐蔭学園高,早稲田大,ヤクルト,1994-2-14,
1700089,https://baseball.yahoo.co.jp/npb/player/1700089/top,宮本 丈,宮本 丈,東京ヤクルトスワローズ,10,内野手,大阪,1995年4月3日,181cm,82kg,B,右投左打,2017年,6位,履正社高（甲）－奈良学園大－ヤクルト,履正社高,奈良学園大,ヤクルト,1995-4-3,
2000133,https://baseball.yahoo.co.jp/npb/player/2000133/top,オスナ,オスナ,東京ヤクルトスワローズ,13,内野手,ベネズエラ,1992年12月12日,188cm,106kg,不明,右投右打,--,--,ヌエストラセニョーラデファテマ高－パイレーツ－ヤクルト,ヌエストラセニョーラデファテマ高,,ヤクルト,1992-12-12,（ベ）22
1800082,https://baseball.yahoo.co.jp/npb/player/1800082/top,山野辺 翔,山野辺 翔,東京ヤクルトスワローズ,37,内野手,東京,1994年5月24日,170cm,74kg,AB,右投右打,2018年,3位,桐蔭学園高－桜美林大－三菱自動車岡崎－西武－ヤクルト,桐蔭学園高,桜美林大,ヤクルト,1994-5-24,
1850772,https://baseball.yahoo.co.jp/npb/player/1850772/top,石井 巧,石井 巧,東京ヤクルトスワローズ,38,内野手,栃木,2002年3月2日,180cm,81kg,不明,右投右打,2025年,6位,作新学院高（甲）－中央大－NTT東日本－ヤクルト,作新学院高,中央大,ヤクルト,2002-3-2,
2118992,https://baseball.yahoo.co.jp/npb/player/2118992/top,松川 玲央,松川 玲央,東京ヤクルトスワローズ,39,内野手,岡山,2004年3月26日,183cm,81kg,不明,右投左打,2025年,2位,関西高－城西大－ヤクルト,関西高,城西大,ヤクルト,2004-3-26,
1650165,https://baseball.yahoo.co.jp/npb/player/1650165/top,北村 恵吾,北村 恵吾,東京ヤクルトスワローズ,50,内野手,岐阜,2000年12月18日,182cm,90kg,O,右投右打,2022年,5位,近江高（甲）－中央大－ヤクルト,近江高,中央大,ヤクルト,2000-12-18,
2113365,https://baseball.yahoo.co.jp/npb/player/2113365/top,田中 陽翔,田中 陽翔,東京ヤクルトスワローズ,54,内野手,東京,2006年6月25日,183cm,88kg,B,右投左打,2024年,4位,健大高崎高（甲）－ヤクルト,健大高崎高,,ヤクルト,2006-6-25,
1900029,https://baseball.yahoo.co.jp/npb/player/1900029/top,武岡 龍世,武岡 龍世,東京ヤクルトスワローズ,60,内野手,徳島,2001年5月28日,179cm,77kg,O,右投左打,2019年,6位,八戸学院光星高（甲）－ヤクルト,八戸学院光星高,,ヤクルト,2001-5-28,
2112175,https://baseball.yahoo.co.jp/npb/player/2112175/top,伊藤 琉偉,伊藤 琉偉,東京ヤクルトスワローズ,67,内野手,群馬,2002年9月11日,180cm,78kg,O,右投右打,2023年,5位,東農大二高－東京農業大中退－BCリーグ・新潟－ヤクルト,東農大二高,,ヤクルト,2002-9-11,
2000028,https://baseball.yahoo.co.jp/npb/player/2000028/top,並木 秀尊,並木 秀尊,東京ヤクルトスワローズ,0,外野手,埼玉,1999年3月23日,170cm,72kg,B,右投右打,2020年,5位,市川口高－獨協大－ヤクルト,市川口高,獨協大,ヤクルト,1999-3-23,
1650522,https://baseball.yahoo.co.jp/npb/player/1650522/top,丸山 和郁,丸山 和郁,東京ヤクルトスワローズ,4,外野手,群馬,1999年7月18日,174cm,80kg,B,左投左打,2021年,2位,前橋育英高（甲）－明治大－ヤクルト,前橋育英高,明治大,ヤクルト,1999-7-18,
1700087,https://baseball.yahoo.co.jp/npb/player/1700087/top,塩見 泰隆,塩見 泰隆,東京ヤクルトスワローズ,9,外野手,神奈川,1993年6月12日,180cm,81kg,B,右投右打,2017年,4位,武相高－帝京大－JX-ENEOS－ヤクルト,武相高,帝京大,ヤクルト,1993-6-12,（ベ）21（ゴ）22
2000135,https://baseball.yahoo.co.jp/npb/player/2000135/top,サンタナ,サンタナ,東京ヤクルトスワローズ,25,外野手,ドミニカ共和国,1992年8月5日,195cm,104kg,不明,右投右打,--,--,シャーロットアマリー高－アストロズ－ブルワーズ－マリナーズ－インディアンス－3Aコロンバス－ヤクルト,シャーロットアマリー高,,ヤクルト,1992-8-5,（出）24（ベ）24
2112585,https://baseball.yahoo.co.jp/npb/player/2112585/top,モイセエフ ニキータ,モイセエフ ニキータ,東京ヤクルトスワローズ,31,外野手,愛知,2006年11月29日,182cm,87kg,B,左投左打,2024年,2位,豊川高（甲）－ヤクルト,豊川高,,ヤクルト,2006-11-29,
2102997,https://baseball.yahoo.co.jp/npb/player/2102997/top,西村 瑠伊斗,西村 瑠伊斗,東京ヤクルトスワローズ,36,外野手,京都,2004年7月1日,178cm,80kg,B,右投左打,2022年,2位,京都外大西高－ヤクルト,京都外大西高,,ヤクルト,2004-7-1,
1750800,https://baseball.yahoo.co.jp/npb/player/1750800/top,澤井 廉,澤井 廉,東京ヤクルトスワローズ,42,外野手,愛知,2000年5月31日,180cm,94kg,O,左投左打,2022年,3位,中京大中京高（甲）－中京大－ヤクルト,中京大中京高,中京大,ヤクルト,2000-5-31,
1700131,https://baseball.yahoo.co.jp/npb/player/1700131/top,増田 珠,増田 珠,東京ヤクルトスワローズ,63,外野手,長崎,1999年5月21日,179cm,93kg,O,右投右打,2017年,3位,横浜高（甲）－ソフトバンク－ヤクルト,横浜高,,ヤクルト,1999-5-21,
2103917,https://baseball.yahoo.co.jp/npb/player/2103917/top,岩田 幸宏,岩田 幸宏,東京ヤクルトスワローズ,64,外野手,兵庫,1997年7月31日,175cm,79kg,A,左投左打,2021年,（育）1位,東洋大姫路高－ミキハウス－BCリーグ・信濃－ヤクルト,東洋大姫路高,,ヤクルト,1997-7-31,
1900024,https://baseball.yahoo.co.jp/npb/player/1900024/top,奥川 恭伸,奥川 恭伸,東京ヤクルトスワローズ,18,投手,石川,2001年4月16日,184cm,82kg,O,右投右打,2019年,1位,星稜高（甲）－ヤクルト,星稜高,,ヤクルト,2001-4-16,
2103794,https://baseball.yahoo.co.jp/npb/player/2103794/top,吉村 貢司郎,吉村 貢司郎,東京ヤクルトスワローズ,21,投手,東京,1998年1月19日,183cm,85kg,B,右投右打,2022年,1位,日大豊山高－国学院大－東芝－ヤクルト,日大豊山高,国学院大,ヤクルト,1998-1-19,
2000025,https://baseball.yahoo.co.jp/npb/player/2000025/top,山野 太一,山野 太一,東京ヤクルトスワローズ,26,投手,山口,1999年3月24日,173cm,81kg,B,左投左打,2020年,2位,高川学園高（甲）－東北福祉大－ヤクルト,高川学園高,東北福祉大,ヤクルト,1999-3-24,
1750696,https://baseball.yahoo.co.jp/npb/player/1750696/top,松本 健吾,松本 健吾,東京ヤクルトスワローズ,28,投手,東京,1999年4月14日,180cm,83kg,B,右投右打,2023年,2位,東海大菅生高（甲）－亜細亜大－トヨタ自動車－ヤクルト,東海大菅生高,亜細亜大,ヤクルト,1999-4-14,
1200076,https://baseball.yahoo.co.jp/npb/player/1200076/top,小川 泰弘,小川 泰弘,東京ヤクルトスワローズ,29,投手,愛知,1990年5月16日,172cm,82kg,A,右投右打,2012年,2位,成章高（甲）－創価大－ヤクルト,成章高,創価大,ヤクルト,1990-5-16,（率）13（勝）13（新）13
1851155,https://baseball.yahoo.co.jp/npb/player/1851155/top,石原 勇輝,石原 勇輝,東京ヤクルトスワローズ,35,投手,広島,2001年8月30日,180cm,87kg,B,左投左打,2023年,3位,広陵高（甲）－明治大－ヤクルト,広陵高,明治大,ヤクルト,2001-8-30,
1300045,https://baseball.yahoo.co.jp/npb/player/1300045/top,高梨 裕稔,高梨 裕稔,東京ヤクルトスワローズ,40,投手,千葉,1991年6月5日,188cm,94kg,B,右投右打,2013年,4位,土気高－山梨学院大－日本ハム－ヤクルト,土気高,山梨学院大,ヤクルト,1991-6-5,（新）16
1750894,https://baseball.yahoo.co.jp/npb/player/1750894/top,増居 翔太,増居 翔太,東京ヤクルトスワローズ,43,投手,滋賀,2000年5月25日,173cm,74kg,B,左投左打,2025年,4位,彦根東高（甲）－慶応大－トヨタ自動車－ヤクルト,彦根東高,慶応大,ヤクルト,2000-5-25,
1500139,https://baseball.yahoo.co.jp/npb/player/1500139/top,小澤 怜史,小澤 怜史,東京ヤクルトスワローズ,45,投手,静岡,1998年3月9日,182cm,87kg,A,右投左打,2015年,2位,日大三島高－ソフトバンク－ヤクルト,日大三島高,,ヤクルト,1998-3-9,
2108291,https://baseball.yahoo.co.jp/npb/player/2108291/top,ウォルターズ,ウォルターズ,東京ヤクルトスワローズ,58,投手,アメリカ,1997年5月18日,195cm,102kg,不明,右投右打,--,--,エンゼルス－2Aハリスバーグ－中日－ヤクルト,エンゼルス,,ヤクルト,1997-5-18,
2102052,https://baseball.yahoo.co.jp/npb/player/2102052/top,松本 龍之介,松本 龍之介,東京ヤクルトスワローズ,22,捕手,大阪,2005年3月1日,176cm,81kg,O,右投右打,2024年,（育）4位,東海大山形高－関西独立リーグ・堺－ヤクルト,東海大山形高,,ヤクルト,2005-3-1,
2000100,https://baseball.yahoo.co.jp/npb/player/2000100/top,中川 拓真,中川 拓真,東京ヤクルトスワローズ,27,捕手,愛知,2002年7月17日,180cm,88kg,B,右投右打,2020年,5位,豊橋中央高－オリックス－九州アジアリーグ・熊本－ヤクルト,豊橋中央高,,ヤクルト,2002-7-17,
1900122,https://baseball.yahoo.co.jp/npb/player/1900122/top,澤野 聖悠,澤野 聖悠,東京ヤクルトスワローズ,23,内野手,愛知,2002年3月9日,186cm,94kg,A,右投左打,2019年,（育）4位,誉高（甲）－楽天－ヤクルト,誉高,,ヤクルト,2002-3-9,
2117854,https://baseball.yahoo.co.jp/npb/player/2117854/top,根岸 辰昇,根岸 辰昇,東京ヤクルトスワローズ,25,内野手,東京,2000年9月20日,180cm,95kg,A,左投左打,2024年,（育）1位,慶応高（甲）－ノースカロライナA＆T州立大－ヤクルト,慶応高,ノースカロライナA＆T州立大,ヤクルト,2000-9-20,
2112148,https://baseball.yahoo.co.jp/npb/player/2112148/top,髙野 颯太,髙野 颯太,東京ヤクルトスワローズ,26,内野手,島根,2005年7月28日,176cm,90kg,A,右投右打,2023年,（育）2位,三刀屋高－ヤクルト,三刀屋高,,ヤクルト,2005-7-28,
2107178,https://baseball.yahoo.co.jp/npb/player/2107178/top,モンテル,モンテル,東京ヤクルトスワローズ,24,外野手,沖縄,2000年3月18日,187cm,88kg,B,右投右打,2022年,（育）2位,金光大阪高－OBC高島－琉球ブルーオーシャンズ－四国ILplus・徳島－西武－ヤクルト,金光大阪高,,ヤクルト,2000-3-18,
1960901,https://baseball.yahoo.co.jp/npb/player/1960901/top,デュプランティエ,デュプランティエ,横浜DeNAベイスターズ,0,投手,アメリカ,1994年7月11日,193cm,103kg,不明,右投左打,--,--,ライス大－ダイヤモンドバックス－3Aナッシュビル－阪神－DeNA,ライス大,,DeNA,1994-7-11,
1700058,https://baseball.yahoo.co.jp/npb/player/1700058/top,東 克樹,東 克樹,横浜DeNAベイスターズ,11,投手,三重,1995年11月29日,170cm,80kg,B,左投左打,2017年,1位,愛工大名電高（甲）－立命館大－DeNA,愛工大名電高,立命館大,DeNA,1995-11-29,（率）23（勝）23、25（新）18（ベ）23（ゴ）23
1650915,https://baseball.yahoo.co.jp/npb/player/1650915/top,竹田 祐,竹田 祐,横浜DeNAベイスターズ,12,投手,大阪,1999年7月5日,184cm,96kg,O,右投右打,2024年,1位,履正社高（甲）－明治大－三菱重工West－DeNA,履正社高,明治大,DeNA,1999-7-5,
1900032,https://baseball.yahoo.co.jp/npb/player/1900032/top,伊勢 大夢,伊勢 大夢,横浜DeNAベイスターズ,13,投手,熊本,1998年3月7日,183cm,94kg,A,右投右打,2019年,3位,九州学院高（甲）－明治大－DeNA,九州学院高,明治大,DeNA,1998-3-7,
1400110,https://baseball.yahoo.co.jp/npb/player/1400110/top,石田 健大,石田 健大,横浜DeNAベイスターズ,14,投手,広島,1993年3月1日,180cm,85kg,O,左投左打,2014年,2位,広島工高－法政大－DeNA,広島工高,法政大,DeNA,1993-3-1,
2101494,https://baseball.yahoo.co.jp/npb/player/2101494/top,島田 舜也,島田 舜也,横浜DeNAベイスターズ,15,投手,神奈川,2003年4月30日,185cm,95kg,不明,右投右打,2025年,2位,木更津総合高－東洋大－DeNA,木更津総合高,東洋大,DeNA,2003-4-30,
1800045,https://baseball.yahoo.co.jp/npb/player/1800045/top,大貫 晋一,大貫 晋一,横浜DeNAベイスターズ,16,投手,神奈川,1994年2月3日,181cm,76kg,AB,右投右打,2018年,3位,桐陽高－日本体育大－新日鉄住金鹿島－DeNA,桐陽高,日本体育大,DeNA,1994-2-3,
2100345,https://baseball.yahoo.co.jp/npb/player/2100345/top,小園 健太,小園 健太,横浜DeNAベイスターズ,18,投手,大阪,2003年4月9日,185cm,90kg,O,右投右打,2021年,1位,市和歌山高（甲）－DeNA,市和歌山高,,DeNA,2003-4-9,
1400109,https://baseball.yahoo.co.jp/npb/player/1400109/top,山﨑 康晃,山﨑 康晃,横浜DeNAベイスターズ,19,投手,東京,1992年10月2日,179cm,88kg,O,右投右打,2014年,1位,帝京高（甲）－亜細亜大－DeNA,帝京高,亜細亜大,DeNA,1992-10-2,（セ）18、19（新）15
1900031,https://baseball.yahoo.co.jp/npb/player/1900031/top,坂本 裕哉,坂本 裕哉,横浜DeNAベイスターズ,20,投手,福岡,1997年7月28日,181cm,88kg,O,左投左打,2019年,2位,福岡大大濠高－立命館大－DeNA,福岡大大濠高,立命館大,DeNA,1997-7-28,
2000034,https://baseball.yahoo.co.jp/npb/player/2000034/top,入江 大生,入江 大生,横浜DeNAベイスターズ,22,投手,栃木,1998年8月26日,187cm,90kg,O,右投右打,2020年,1位,作新学院高（甲）－明治大－DeNA,作新学院高,明治大,DeNA,1998-8-26,
2105707,https://baseball.yahoo.co.jp/npb/player/2105707/top,吉野 光樹,吉野 光樹,横浜DeNAベイスターズ,24,投手,熊本,1998年7月19日,176cm,80kg,O,右投右打,2022年,2位,九州学院高－上武大－トヨタ自動車－DeNA,九州学院高,上武大,DeNA,1998-7-19,
1200062,https://baseball.yahoo.co.jp/npb/player/1200062/top,藤浪 晋太郎,藤浪 晋太郎,横浜DeNAベイスターズ,27,投手,大阪,1994年4月12日,197cm,98kg,A,右投右打,2012年,1位,大阪桐蔭高（甲）－阪神－アスレチックス－オリオールズ－メッツ－マリナーズ－3Aタコマ－DeNA,大阪桐蔭高,,DeNA,1994-4-12,（振）15
1850838,https://baseball.yahoo.co.jp/npb/player/1850838/top,篠木 健太郎,篠木 健太郎,横浜DeNAベイスターズ,30,投手,群馬,2002年5月7日,177cm,80kg,B,右投左打,2024年,2位,木更津総合高（甲）－法政大－DeNA,木更津総合高,法政大,DeNA,2002-5-7,
2104341,https://baseball.yahoo.co.jp/npb/player/2104341/top,武田 陸玖,武田 陸玖,横浜DeNAベイスターズ,33,投手,山形,2005年6月6日,173cm,78kg,B,左投左打,2023年,3位,山形中央高－DeNA,山形中央高,,DeNA,2005-6-6,
2105007,https://baseball.yahoo.co.jp/npb/player/2105007/top,橋本 達弥,橋本 達弥,横浜DeNAベイスターズ,35,投手,兵庫,2000年7月18日,181cm,84kg,B,右投右打,2022年,5位,長田高－慶応大－DeNA,長田高,慶応大,DeNA,2000-7-18,
1700134,https://baseball.yahoo.co.jp/npb/player/1700134/top,尾形 崇斗,尾形 崇斗,横浜DeNAベイスターズ,36,投手,宮城,1999年5月15日,182cm,90kg,O,右投左打,2017年,（育）1位,学法石川高－ソフトバンク－DeNA,学法石川高,,DeNA,1999-5-15,
2108557,https://baseball.yahoo.co.jp/npb/player/2108557/top,松本 凌人,松本 凌人,横浜DeNAベイスターズ,38,投手,大阪,2001年12月5日,185cm,92kg,AB,右投右打,2023年,2位,神戸国際大付高－名城大－DeNA,神戸国際大付高,名城大,DeNA,2001-12-5,
2107753,https://baseball.yahoo.co.jp/npb/player/2107753/top,若松 尚輝,若松 尚輝,横浜DeNAベイスターズ,39,投手,北海道,2000年5月10日,184cm,93kg,A,右投右打,2024年,4位,札幌第一高－札幌学院大－四国ILplus・高知－DeNA,札幌第一高,札幌学院大,DeNA,2000-5-10,
1600141,https://baseball.yahoo.co.jp/npb/player/1600141/top,佐々木 千隼,佐々木 千隼,横浜DeNAベイスターズ,41,投手,東京,1994年6月8日,181cm,83kg,O,右投右打,2016年,1位,東京・日野高－桜美林大－ロッテ－DeNA,東京・日野高,桜美林大,DeNA,1994-6-8,
2117281,https://baseball.yahoo.co.jp/npb/player/2117281/top,コックス,コックス,横浜DeNAベイスターズ,42,投手,アメリカ,1997年3月28日,193cm,106kg,不明,左投左打,--,--,マーサー大－ロイヤルズ－ブレーブス－DeNA,マーサー大,,DeNA,1997-3-28,
2100109,https://baseball.yahoo.co.jp/npb/player/2100109/top,深沢 鳳介,深沢 鳳介,横浜DeNAベイスターズ,43,投手,東京,2003年11月5日,177cm,80kg,A,右投右打,2021年,5位,専大松戸高（甲）－DeNA,専大松戸高,,DeNA,2003-11-5,
1600096,https://baseball.yahoo.co.jp/npb/player/1600096/top,森原 康平,森原 康平,横浜DeNAベイスターズ,45,投手,広島,1991年12月26日,185cm,88kg,AB,右投左打,2016年,5位,山陽高－近畿大工学部－新日鉄住金広畑－楽天－DeNA,山陽高,,DeNA,1991-12-26,
2105081,https://baseball.yahoo.co.jp/npb/player/2105081/top,坂口 翔颯,坂口 翔颯,横浜DeNAベイスターズ,46,投手,兵庫,2002年9月12日,180cm,84kg,AB,右投右打,2024年,6位,報徳学園高－国学院大－DeNA,報徳学園高,国学院大,DeNA,2002-9-12,
2105232,https://baseball.yahoo.co.jp/npb/player/2105232/top,片山 皓心,片山 皓心,横浜DeNAベイスターズ,47,投手,茨城,1998年10月31日,175cm,84kg,不明,左投左打,2025年,4位,日立一高－桐蔭横浜大－Honda－DeNA,日立一高,桐蔭横浜大,DeNA,1998-10-31,
1860235,https://baseball.yahoo.co.jp/npb/player/1860235/top,ルイーズ,ルイーズ,横浜DeNAベイスターズ,49,投手,ベネズエラ,1994年10月21日,185cm,111kg,不明,右投右打,--,--,パドレス－ホワイトソックス－ダイヤモンドバックス－フィリーズ－ブレーブス－3Aラウンドロック－DeNA,パドレス,,DeNA,1994-10-21,
2000099,https://baseball.yahoo.co.jp/npb/player/2000099/top,中川 颯,中川 颯,横浜DeNAベイスターズ,53,投手,神奈川,1998年10月10日,184cm,80kg,A,右投左打,2020年,4位,桐光学園高－立教大－オリックス－DeNA,桐光学園高,立教大,DeNA,1998-10-10,
2112182,https://baseball.yahoo.co.jp/npb/player/2112182/top,石田 裕太郎,石田 裕太郎,横浜DeNAベイスターズ,54,投手,神奈川,2002年1月22日,180cm,80kg,A,右投右打,2023年,5位,静清高－中央大－DeNA,静清高,中央大,DeNA,2002-1-22,
1300031,https://baseball.yahoo.co.jp/npb/player/1300031/top,平良 拳太郎,平良 拳太郎,横浜DeNAベイスターズ,59,投手,沖縄,1995年7月12日,180cm,80kg,O,右投右打,2013年,5位,北山高－巨人－DeNA,北山高,,DeNA,1995-7-12,
2117433,https://baseball.yahoo.co.jp/npb/player/2117433/top,レイノルズ,レイノルズ,横浜DeNAベイスターズ,62,投手,アメリカ,1998年4月19日,203cm,113kg,不明,右投左打,--,--,レドンド・ユニオン高－パドレス－DeNA,レドンド・ユニオン高,,DeNA,1998-4-19,
1700067,https://baseball.yahoo.co.jp/npb/player/1700067/top,中川 虎大,中川 虎大,横浜DeNAベイスターズ,64,投手,和歌山,1999年10月2日,178cm,85kg,B,右投右打,2017年,（育）1位,箕島高－DeNA,箕島高,,DeNA,1999-10-2,
1800049,https://baseball.yahoo.co.jp/npb/player/1800049/top,宮城 滝太,宮城 滝太,横浜DeNAベイスターズ,65,投手,沖縄,2000年7月15日,181cm,80kg,A,右投右打,2018年,（育）1位,滋賀学園高（甲）－DeNA,滋賀学園高,,DeNA,2000-7-15,
2000059,https://baseball.yahoo.co.jp/npb/player/2000059/top,岩田 将貴,岩田 将貴,横浜DeNAベイスターズ,68,投手,福岡,1998年6月16日,178cm,81kg,B,左投左打,2020年,（育）1位,九産大九州高（甲）－九州産業大－阪神－DeNA,九産大九州高,九州産業大,DeNA,1998-6-16,
1600072,https://baseball.yahoo.co.jp/npb/player/1600072/top,堀岡 隼人,堀岡 隼人,横浜DeNAベイスターズ,92,投手,神奈川,1998年9月11日,183cm,87kg,O,右投右打,2016年,（育）7位,青森山田高（甲）－巨人－DeNA,青森山田高,,DeNA,1998-9-11,
2105891,https://baseball.yahoo.co.jp/npb/player/2105891/top,マルセリーノ,マルセリーノ,横浜DeNAベイスターズ,98,投手,ドミニカ共和国,2002年6月16日,191cm,82kg,不明,右投右打,--,--,セントルイスカージナルス高－カージナルス傘下－DeNA,セントルイスカージナルス高,,DeNA,2002-6-16,
1500063,https://baseball.yahoo.co.jp/npb/player/1500063/top,柴田 竜拓,柴田 竜拓,横浜DeNAベイスターズ,31,内野手,岡山,1993年12月16日,167cm,68kg,O,右投左打,2015年,3位,岡山理大付高－国学院大－DeNA,岡山理大付高,国学院大,DeNA,1993-12-16,
1600116,https://baseball.yahoo.co.jp/npb/player/1600116/top,浜地 真澄,浜地 真澄,横浜DeNAベイスターズ,52,投手,福岡,1998年5月25日,185cm,88kg,O,右投右打,2016年,4位,福岡大大濠高－阪神－DeNA,福岡大大濠高,,DeNA,1998-5-25,
2106428,https://baseball.yahoo.co.jp/npb/player/2106428/top,清水 麻成,清水 麻成,横浜DeNAベイスターズ,102,投手,群馬,2005年10月6日,187cm,84kg,O,右投右打,2023年,（育）2位,樹徳高（甲）－DeNA,樹徳高,,DeNA,2005-10-6,
2117690,https://baseball.yahoo.co.jp/npb/player/2117690/top,金渕 光希,金渕 光希,横浜DeNAベイスターズ,103,投手,青森,2006年10月1日,184cm,90kg,O,左投左打,2024年,（育）3位,八戸工大一高－DeNA,八戸工大一高,,DeNA,2006-10-1,
2113630,https://baseball.yahoo.co.jp/npb/player/2113630/top,吉岡 暖,吉岡 暖,横浜DeNAベイスターズ,111,投手,徳島,2006年8月28日,182cm,88kg,A,右投右打,2024年,（育）2位,阿南光高（甲）－DeNA,阿南光高,,DeNA,2006-8-28,
1700077,https://baseball.yahoo.co.jp/npb/player/1700077/top,馬場 皐輔,馬場 皐輔,横浜DeNAベイスターズ,115,投手,宮城,1995年5月18日,180cm,97kg,O,右投右打,2017年,1位,仙台育英高（甲）－仙台大－阪神－巨人－DeNA,仙台育英高,仙台大,DeNA,1995-5-18,
2112149,https://baseball.yahoo.co.jp/npb/player/2112149/top,庄司 陽斗,庄司 陽斗,横浜DeNAベイスターズ,122,投手,宮城,2001年5月31日,184cm,93kg,O,左投左打,2023年,（育）4位,聖和学園高－青森大－DeNA,聖和学園高,青森大,DeNA,2001-5-31,
2100260,https://baseball.yahoo.co.jp/npb/player/2100260/top,森下 瑠大,森下 瑠大,横浜DeNAベイスターズ,136,投手,京都,2004年9月19日,180cm,75kg,A,左投左打,2022年,4位,京都国際高（甲）－DeNA,京都国際高,,DeNA,2004-9-19,
2000036,https://baseball.yahoo.co.jp/npb/player/2000036/top,松本 隆之介,松本 隆之介,横浜DeNAベイスターズ,140,投手,神奈川,2002年7月31日,188cm,94kg,A,左投左打,2020年,3位,横浜高（甲）－DeNA,横浜高,,DeNA,2002-7-31,
2100277,https://baseball.yahoo.co.jp/npb/player/2100277/top,松尾 汐恩,松尾 汐恩,横浜DeNAベイスターズ,5,捕手,京都,2004年7月6日,178cm,82kg,A,右投右打,2022年,1位,大阪桐蔭高（甲）－DeNA,大阪桐蔭高,,DeNA,2004-7-6,
1500064,https://baseball.yahoo.co.jp/npb/player/1500064/top,戸柱 恭孝,戸柱 恭孝,横浜DeNAベイスターズ,10,捕手,鹿児島,1990年4月11日,179cm,90kg,A,右投左打,2015年,4位,鹿屋中央高－駒沢大－NTT西日本－DeNA,鹿屋中央高,駒沢大,DeNA,1990-4-11,
1800047,https://baseball.yahoo.co.jp/npb/player/1800047/top,益子 京右,益子 京右,横浜DeNAベイスターズ,32,捕手,栃木,2000年12月27日,176cm,95kg,A,右投右打,2018年,5位,青藍泰斗高－DeNA,青藍泰斗高,,DeNA,2000-12-27,
1900033,https://baseball.yahoo.co.jp/npb/player/1900033/top,東妻 純平,東妻 純平,横浜DeNAベイスターズ,57,捕手,和歌山,2001年7月3日,174cm,83kg,AB,右投右打,2019年,4位,智弁和歌山高（甲）－DeNA,智弁和歌山高,,DeNA,2001-7-3,
2103949,https://baseball.yahoo.co.jp/npb/player/2103949/top,古市 尊,古市 尊,横浜DeNAベイスターズ,60,捕手,香川,2002年6月15日,176cm,74kg,O,右投右打,2021年,（育）1位,高松南高－四国ILplus・徳島－西武－DeNA,高松南高,,DeNA,2002-6-15,
1600166,https://baseball.yahoo.co.jp/npb/player/1600166/top,九鬼 隆平,九鬼 隆平,横浜DeNAベイスターズ,95,捕手,大阪,1998年9月5日,180cm,85kg,A,右投右打,2016年,3位,秀岳館高（甲）－ソフトバンク－DeNA,秀岳館高,,DeNA,1998-9-5,
1850208,https://baseball.yahoo.co.jp/npb/player/1850208/top,林 琢真,林 琢真,横浜DeNAベイスターズ,0,内野手,愛知,2000年8月24日,171cm,80kg,A,右投左打,2022年,3位,東邦高（甲）－駒沢大－DeNA,東邦高,駒沢大,DeNA,2000-8-24,
2000035,https://baseball.yahoo.co.jp/npb/player/2000035/top,牧 秀悟,牧 秀悟,横浜DeNAベイスターズ,2,内野手,長野,1998年4月21日,178cm,97kg,O,右投右打,2020年,2位,松本第一高－中央大－DeNA,松本第一高,中央大,DeNA,1998-4-21,（安）23（点）23（ベ）22、23
1950913,https://baseball.yahoo.co.jp/npb/player/1950913/top,小田 康一郎,小田 康一郎,横浜DeNAベイスターズ,3,内野手,東京,2003年8月15日,173cm,85kg,不明,右投左打,2025年,1位,中京高（甲）－青山学院大－DeNA,中京高,青山学院大,DeNA,2003-8-15,
1900030,https://baseball.yahoo.co.jp/npb/player/1900030/top,森 敬斗,森 敬斗,横浜DeNAベイスターズ,6,内野手,静岡,2002年1月28日,177cm,80kg,A,右投左打,2019年,1位,桐蔭学園高（甲）－DeNA,桐蔭学園高,,DeNA,2002-1-28,
1600107,https://baseball.yahoo.co.jp/npb/player/1600107/top,京田 陽太,京田 陽太,横浜DeNAベイスターズ,9,内野手,石川,1994年4月20日,184cm,90kg,O,右投左打,2016年,2位,青森山田高－日本大－中日－DeNA,青森山田高,日本大,DeNA,1994-4-20,（新）17
